ID	phase	group	intro.no	elo	num.obs	ordinal.rank
Fn14	SGE2	NSPF1	1	1356	26	1
Gu10	SGE2	NSPF1	4	1347	26	2
Lm8	SGE2	NSPF1	3	908	23	3
Rn9	SGE2	NSPF1	2	389	20	4
Cl13	SGE2	NSPF2	2	438	29	5
Cv9	SGE2	NSPF2	4	1039	28	3
Ed8	SGE2	NSPF2	1	1469	29	1
Pt8	SGE2	NSPF2	5	592	27	4
Rz6	SGE2	NSPF2	3	1462	29	2
Bi10	SGE2	NSPF3	1	1266	20	2
Ph7	SGE2	NSPF3	4	890	17	4
Tr13	SGE2	NSPF3	3	392	20	5
Np9	SGE2	NSPF3	5	1059	20	3
Wm14	SGE2	NSPF3	2	1393	20	1
Bm7	SGE2	NSPF4	1	1438	19	1
Lo9	SGE2	NSPF4	3	966	19	3
Tm13	SGE2	NSPF4	4	799	19	4
Dj7	SGE2	NSPF4	2	1159	19	2
Vh7	SGE2	NSPF4	5	638	18	5
DV2J	SGE2	NSPF5	5	586	16	5
Gq10	SGE2	NSPF5	3	926	18	4
Fi9	SGE2	NSPF5	4	1080	17	3
Md11	SGE2	NSPF5	1	1316	18	1
Iv8	SGE2	NSPF5	2	1092	18	2
Az15	SGE2	SPF1	3	780	19	3
Kk13	SGE2	SPF1	4	1113	17	2
Mi12	SGE2	SPF1	2	751	18	4
Nn10	SGE2	SPF1	1	1516	14	1
Fy11	SGE2	SPF2	1	1021	19	2
Je11	SGE2	SPF2	2	1261	19	1
Yr14	SGE2	SPF2	3	718	19	3
Et12	SGE2	SPF3	2	730	20	4
Ga13	SGE2	SPF3	3	1194	20	2
Gl11	SGE2	SPF3	1	1134	20	3
Mg12	SGE2	SPF3	5	1437	20	1
Yz6	SGE2	SPF3	4	505	15	5
77_06	SGE2	SPF4	4	532	4	4
Bw12	SGE2	SPF4	2	1212	13	2
Fw12	SGE2	SPF4	1	1419	13	1
Ht8	SGE2	SPF4	3	837	13	3
Dj15	SGE2	SPF5	4	933	11	3
JVA	SGE2	SPF5	1	1347	12	2
Ss10	SGE2	SPF5	3	901	12	4
Ta11	SGE2	SPF5	2	1409	12	1
Vt12	SGE2	SPF5	5	410	12	5
Bi10	SGE1	NSPF1_1	5	353	31	5
Rz6	SGE1	NSPF1_1	4	1244	31	2
Ie6	SGE1	NSPF1_1	3	845	29	4
Qv5	SGE1	NSPF1_1	2	1171	30	3
Sm8	SGE1	NSPF1_1	1	1387	31	1
Ai10	SGE1	NSPF2_1	2	1240	49	2
Bm7	SGE1	NSPF2_1	3	335	45	5
Ed8	SGE1	NSPF2_1	4	1170	49	3
Ph7	SGE1	NSPF2_1	5	889	44	4
Rn9	SGE1	NSPF2_1	1	1366	48	1
Cl13	SGE1	NSPF3_1	5	645	40	5
Gq10	SGE1	NSPF3_1	1	1124	40	2
Lm8	SGE1	NSPF3_1	2	1483	41	1
Ik6	SGE1	NSPF3_1	4	732	31	4
Lo9	SGE1	NSPF3_1	3	1016	41	3
Gu10	SGE1	NSPF4_1	4	1404	39	1
Iv8	SGE1	NSPF4_1	5	587	36	5
Pt8	SGE1	NSPF4_1	1	871	39	4
Tm13	SGE1	NSPF4_1	3	1265	39	2
Tr13	SGE1	NSPF4_1	2	873	39	3
Cv9	SGE1	NSPF5_1	4	953	30	4
DV2J	SGE1	NSPF5_1	2	220	27	5
Fn14	SGE1	NSPF5_1	1	1404	30	2
Pz13	SGE1	NSPF5_1	3	1444	21	1
Wm14	SGE1	NSPF5_1	5	979	26	3
Ht8	SGE1	SPF1_1	4	1475	48	1
Ss10	SGE1	SPF1_1	2	1435	48	2
Yz6	SGE1	SPF1_1	3	847	48	3
Qt8	SGE1	SPF1_1	1	811	48	4
Sd4	SGE1	SPF1_1	5	432	47	5
77_06	SGE1	SPF2_1	1	1696	47	1
Gl11	SGE1	SPF2_1	3	912	43	3
Je11	SGE1	SPF2_1	4	880	46	4
JVA	SGE1	SPF2_1	2	1176	46	2
Kk13	SGE1	SPF2_1	5	336	28	5
Bw12	SGE1	SPF3_1	1	1469	33	2
Ga13	SGE1	SPF3_1	4	965	33	3
Mi12	SGE1	SPF3_1	3	206	11	5
Vt12	SGE1	SPF3_1	2	1750	33	1
Yr14	SGE1	SPF3_1	5	610	33	4
Fy11	SGE1	SPF4_1	1	907	31	3
Mg12	SGE1	SPF4_1	4	1527	31	1
Nn10	SGE1	SPF4_1	5	419	28	4
Ta11	SGE1	SPF4_1	2	1147	31	2
Az15	SGE1	SPF5_1	5	150	36	5
Dj15	SGE1	SPF5_1	1	1367	39	2
Et12	SGE1	SPF5_1	4	633	37	4
Fw12	SGE1	SPF5_1	2	1693	38	1
Cg16	SGE1	SPF5_1	3	1157	38	3
